0.00207439741782 [7, 6] 
0.00469771286253 [8, 7] 
0.00406369085717 [9, 8] 
0.0021301050041 [10, 9] 
0.0021004215512 [14, 13] 
0.00377608786677 [15, 14] 
0.010549344698 [16, 15] 
0.00438430994333 [17, 16] 
0.00410083830986 [18, 17] 
0.00436036666182 [19, 18] 
0.0102326032632 [20, 19] 
0.00358993685875 [21, 20] 
0.00400147024405 [22, 21] 
0.0108468799548 [23, 8] 
0.00425410247799 [23, 22] 
0.00354318889307 [24, 23] 
0.00440811662997 [25, 20] 
0.00398426713073 [25, 24] 
0.00343189394078 [26, 19] 
0.0033328511946 [27, 16] 
0.00364107882853 [27, 26] 
0.00460906571487 [28, 15] 
0.00210876006913 [29, 28] 
9.27402946758e-05 [32, 6] 
0.000886107564002 [33, 7] 
0.000815454680905 [34, 9] 
0.000194419529049 [35, 10] 
0.000173497445645 [38, 13] 
0.00078124390375 [39, 14] 
0.000988124974661 [40, 17] 
0.000944302035822 [41, 18] 
0.000933702587442 [42, 21] 
0.000982750006052 [43, 22] 
0.00103850596583 [44, 24] 
0.000773914258136 [45, 25] 
0.000883154053448 [46, 26] 
0.000766877886827 [47, 27] 
0.000908708007358 [48, 28] 
0.000107404950243 [49, 29] 
