0.000275632464282 [1, 0] 
0.000172221921877 [2, 1] 
2.1608720388e-05 [3, 2] 
0.000161820016112 [4, 3] 
0.00021584470293 [5, 4] 
4.84292500587e-05 [6, 5] 
4.40505417398e-05 [7, 6] 
5.13838247445e-05 [8, 7] 
0.000136305633251 [9, 8] 
0.000119786813844 [10, 5] 
2.93845919778e-05 [10, 9] 
5.54505001187e-05 [11, 4] 
5.23120811289e-05 [12, 1] 
4.30544874619e-05 [12, 11] 
0.000122343947815 [13, 0] 
3.42636753916e-05 [14, 13] 
4.54043868318e-05 [22, 21] 
0.000123470352537 [23, 8] 
5.42610084767e-05 [23, 22] 
2.76711875532e-05 [24, 23] 
3.34006774575e-05 [25, 24] 
4.68849253085e-05 [29, 0] 
2.15658985717e-05 [29, 28] 
5.29949359175e-06 [30, 2] 
4.2751442832e-06 [31, 3] 
7.14814499112e-06 [32, 6] 
1.01507661595e-05 [33, 7] 
1.19072243217e-05 [34, 9] 
3.92929186951e-06 [35, 10] 
7.6355166197e-06 [36, 11] 
5.32638359905e-06 [37, 12] 
1.57717819818e-05 [38, 13] 
2.12490100594e-05 [39, 14] 
3.04753306523e-05 [42, 21] 
1.61626392092e-05 [43, 22] 
1.62591068526e-05 [44, 24] 
2.04250200344e-05 [45, 25] 
1.07056868116e-05 [48, 28] 
9.48808750689e-06 [49, 29] 
