0.0105274082934 [1, 0] 
0.00375848207364 [2, 1] 
0.00209967290098 [3, 2] 
0.00444318726416 [12, 1] 
0.00214591704328 [12, 11] 
0.00345468329977 [13, 0] 
0.00373038738683 [14, 13] 
0.00342000863628 [15, 14] 
0.0100573304384 [16, 15] 
0.00429449525916 [17, 16] 
0.00409044012073 [18, 17] 
0.00441385853798 [19, 18] 
0.0107128154483 [20, 19] 
0.00393473974433 [21, 20] 
0.00202902970544 [22, 21] 
0.00480297609794 [25, 20] 
0.00226544827679 [25, 24] 
0.00342079707668 [26, 19] 
0.00330812778579 [27, 16] 
0.00362779949844 [27, 26] 
0.00425836931367 [28, 15] 
0.00418927900261 [29, 0] 
0.00409369934671 [29, 28] 
0.000782495389364 [30, 2] 
0.000159759724811 [31, 3] 
0.000115842738256 [36, 11] 
0.000792743563472 [37, 12] 
0.000874487144303 [38, 13] 
0.000865282847878 [39, 14] 
0.00098927905983 [40, 17] 
0.000937326788021 [41, 18] 
0.000904642726553 [42, 21] 
8.69719455733e-05 [43, 22] 
0.000171821107822 [44, 24] 
0.000686277111588 [45, 25] 
0.000874893454884 [46, 26] 
0.000761161527348 [47, 27] 
0.000983181931894 [48, 28] 
0.000858506778657 [49, 29] 
