3.5603331412e-05 [1, 0] 
7.98856848162e-06 [2, 1] 
1.3806567564e-05 [3, 2] 
7.77832289937e-06 [4, 3] 
1.30871946128e-05 [5, 4] 
2.75544910874e-06 [6, 5] 
1.20263583733e-06 [7, 6] 
1.1471266682e-05 [10, 5] 
3.45797985257e-05 [10, 9] 
2.62432272137e-06 [11, 4] 
2.04497035527e-06 [12, 1] 
2.1038254082e-05 [12, 11] 
7.74922167369e-06 [13, 0] 
1.39350650095e-05 [14, 13] 
7.8832782163e-06 [15, 14] 
1.53922384651e-05 [16, 15] 
2.09461026361e-06 [17, 16] 
3.68413517211e-07 [18, 17] 
1.40771010077e-05 [27, 16] 
4.13390055292e-05 [27, 26] 
2.47154402825e-06 [28, 15] 
2.1385743592e-06 [29, 0] 
2.02363360861e-05 [29, 28] 
1.62205952744e-07 [30, 2] 
5.72933701657e-07 [31, 3] 
2.81331451334e-07 [32, 6] 
2.83339895583e-06 [33, 7] 
8.74516865077e-06 [34, 9] 
4.95302159876e-07 [35, 10] 
1.48899771129e-07 [36, 11] 
1.87235412998e-07 [37, 12] 
1.76510384053e-07 [38, 13] 
3.0370333386e-07 [39, 14] 
4.0534970508e-07 [40, 17] 
2.03335559947e-06 [41, 18] 
1.09277745382e-05 [46, 26] 
2.82805819197e-07 [47, 27] 
3.2234208535e-07 [48, 28] 
1.17689638706e-07 [49, 29] 
