2.46733602113e-05 [7, 6] 
3.25900546978e-05 [8, 7] 
8.69844456541e-05 [9, 8] 
4.06992229355e-05 [10, 9] 
3.16716956182e-05 [14, 13] 
0.000108140042141 [15, 14] 
0.000213814457279 [16, 15] 
5.04323880992e-05 [17, 16] 
4.25643056352e-05 [18, 17] 
5.11047413245e-05 [19, 18] 
0.000172499938377 [20, 19] 
6.70632659724e-05 [21, 20] 
3.57842166991e-05 [22, 21] 
0.000140030628697 [23, 8] 
0.000104906656563 [23, 22] 
5.79194318278e-05 [24, 23] 
6.85642421169e-05 [25, 20] 
3.91363635332e-05 [25, 24] 
0.000157731215687 [26, 19] 
0.000140621674316 [27, 16] 
2.33955872591e-05 [27, 26] 
4.20115718717e-05 [28, 15] 
1.9753045841e-05 [29, 28] 
1.23892064888e-05 [32, 6] 
1.17804296146e-05 [33, 7] 
1.9297156966e-05 [34, 9] 
2.4827193138e-05 [35, 10] 
2.15638281459e-05 [38, 13] 
1.08035224387e-05 [39, 14] 
6.77118197849e-06 [40, 17] 
6.76079313414e-06 [41, 18] 
6.44076769324e-06 [42, 21] 
1.04106399362e-05 [43, 22] 
1.00500674415e-05 [44, 24] 
6.56320600909e-06 [45, 25] 
7.04393332364e-06 [46, 26] 
3.88414337628e-06 [47, 27] 
1.09713541946e-05 [48, 28] 
8.21522922045e-06 [49, 29] 
