1.63436589098e-05 [1, 0] 
6.24089684132e-06 [2, 1] 
1.35873263289e-05 [3, 2] 
1.00860803339e-05 [4, 3] 
3.30043386076e-05 [5, 4] 
1.70669845051e-06 [6, 5] 
1.15197617308e-05 [7, 6] 
2.17237886515e-06 [8, 7] 
4.26135989796e-06 [9, 8] 
5.48221193583e-06 [10, 5] 
6.45380222568e-06 [10, 9] 
1.89491494376e-06 [11, 4] 
2.48993622628e-06 [12, 1] 
2.10399191075e-05 [12, 11] 
1.56327614517e-05 [13, 0] 
3.74975804442e-05 [14, 13] 
1.39977392989e-05 [22, 21] 
1.81943584749e-05 [23, 8] 
8.13973425143e-06 [23, 22] 
4.40466188976e-06 [24, 23] 
1.10683972998e-05 [25, 24] 
1.79335999821e-06 [29, 0] 
4.0224460003e-07 [29, 28] 
8.61784620506e-08 [30, 2] 
5.37043241622e-07 [31, 3] 
1.25215994271e-07 [32, 6] 
2.53517949459e-07 [33, 7] 
6.94513230822e-07 [34, 9] 
1.94140577122e-07 [35, 10] 
7.87144546041e-08 [36, 11] 
1.71643151449e-07 [37, 12] 
4.61269463964e-07 [38, 13] 
7.12341197981e-06 [39, 14] 
4.9666261513e-06 [42, 21] 
1.07678256905e-06 [43, 22] 
5.21282075185e-07 [44, 24] 
3.52407712911e-06 [45, 25] 
7.92978032356e-07 [48, 28] 
4.27697878292e-07 [49, 29] 
