1.57099843328e-05 [1, 0] 
1.6703123515e-05 [2, 1] 
3.75769578215e-05 [3, 2] 
1.75746353227e-06 [12, 1] 
3.95342320242e-07 [12, 11] 
6.33174561226e-06 [13, 0] 
1.35868775059e-05 [14, 13] 
1.00069144445e-05 [15, 14] 
3.40721987277e-05 [16, 15] 
1.8950426451e-06 [17, 16] 
1.6797451042e-05 [18, 17] 
2.75866877576e-06 [19, 18] 
1.19608847262e-05 [20, 19] 
5.80769115407e-06 [21, 20] 
2.05386462245e-05 [22, 21] 
5.44084166294e-06 [25, 20] 
7.0410535386e-06 [25, 24] 
7.00132949106e-06 [26, 19] 
6.64757886869e-06 [27, 16] 
1.1428684787e-05 [27, 26] 
2.00594830551e-06 [28, 15] 
2.83117931145e-06 [29, 0] 
2.08350358487e-05 [29, 28] 
6.22581073581e-07 [30, 2] 
8.84984346772e-06 [31, 3] 
7.60534383635e-07 [36, 11] 
4.46823374792e-07 [37, 12] 
2.49022873525e-07 [38, 13] 
1.86325897709e-07 [39, 14] 
1.58661599573e-07 [40, 17] 
2.27269443392e-07 [41, 18] 
4.37971208917e-07 [42, 21] 
5.07425832063e-06 [43, 22] 
4.40390685804e-06 [44, 24] 
5.41552621581e-07 [45, 25] 
7.75503628051e-07 [46, 26] 
2.11657124802e-07 [47, 27] 
9.27275401646e-08 [48, 28] 
1.2703873967e-07 [49, 29] 
