3.57676261518e-05 [3, 2] 
1.70067799836e-05 [4, 3] 
1.63104374808e-05 [5, 4] 
2.04695450439e-06 [6, 5] 
1.27444476005e-05 [7, 6] 
1.89021512209e-06 [8, 7] 
6.32474592043e-06 [9, 8] 
4.18750461864e-06 [10, 5] 
6.50809139731e-06 [10, 9] 
2.02359403854e-06 [11, 4] 
6.87529875966e-07 [12, 11] 
2.45985952846e-07 [18, 17] 
2.1380516881e-06 [19, 18] 
1.371723992e-05 [20, 19] 
1.8964697065e-06 [21, 20] 
1.63119357747e-06 [22, 21] 
3.98307858928e-05 [23, 8] 
3.3402135937e-06 [23, 22] 
2.26828754117e-06 [24, 23] 
1.68140084042e-06 [25, 20] 
3.85477391391e-06 [25, 24] 
1.43012894598e-05 [26, 19] 
3.38974690912e-05 [27, 26] 
5.79409544308e-06 [30, 2] 
6.39737761584e-07 [31, 3] 
2.05722782083e-07 [32, 6] 
4.1157917853e-07 [33, 7] 
8.71503891453e-07 [34, 9] 
2.19969275832e-07 [35, 10] 
3.15001231195e-07 [36, 11] 
5.52361990912e-07 [37, 12] 
8.83276671621e-07 [40, 17] 
5.75463931804e-07 [41, 18] 
2.40751058338e-07 [42, 21] 
6.22778387856e-07 [43, 22] 
2.69291823656e-07 [44, 24] 
5.31892002463e-07 [45, 25] 
1.04694884321e-06 [46, 26] 
6.24598829756e-06 [47, 27] 
