0.0020802111675 [3, 2] 
0.0037408711066 [4, 3] 
0.0105465691022 [5, 4] 
0.00445839991937 [6, 5] 
0.00408876461027 [7, 6] 
0.00433897217623 [8, 7] 
0.00373589638106 [9, 8] 
0.00336558030224 [10, 5] 
0.00372239910659 [10, 9] 
0.00461464653275 [11, 4] 
0.00208135296882 [12, 11] 
0.00209345853911 [18, 17] 
0.0047155076183 [19, 18] 
0.0107260373123 [20, 19] 
0.00362954642696 [21, 20] 
0.00399121758951 [22, 21] 
0.0103852895727 [23, 8] 
0.00416467784684 [23, 22] 
0.00354587409519 [24, 23] 
0.00447857149361 [25, 20] 
0.00397691752042 [25, 24] 
0.00380616182309 [26, 19] 
0.00207428619103 [27, 26] 
0.00017224895728 [30, 2] 
0.000777297012447 [31, 3] 
0.000976775075585 [32, 6] 
0.000938863507268 [33, 7] 
0.000910958012737 [34, 9] 
0.000787372668998 [35, 10] 
0.000887772755332 [36, 11] 
0.000107673393393 [37, 12] 
9.59851284659e-05 [40, 17] 
0.000891758952691 [41, 18] 
0.000935087369055 [42, 21] 
0.000986401950851 [43, 22] 
0.00103405806147 [44, 24] 
0.000768990981467 [45, 25] 
0.000785258667599 [46, 26] 
0.000194834024922 [47, 27] 
