0.000328579912562 [1, 0] 
0.000189632741118 [2, 1] 
2.20153193177e-05 [3, 2] 
0.000153210218652 [4, 3] 
0.000170377554244 [5, 4] 
3.42519996458e-05 [6, 5] 
3.28360163551e-05 [7, 6] 
6.55600248982e-05 [10, 5] 
5.12513663399e-05 [10, 9] 
5.53697147828e-05 [11, 4] 
5.52939652963e-05 [12, 1] 
4.31028364536e-05 [12, 11] 
0.000185688294385 [13, 0] 
2.22884565448e-05 [14, 13] 
0.000160188687488 [15, 14] 
0.000212747330753 [16, 15] 
4.21531623179e-05 [17, 16] 
2.83776886407e-05 [18, 17] 
9.23002916309e-05 [27, 16] 
5.04639557984e-05 [27, 26] 
5.84576960892e-05 [28, 15] 
5.34148887383e-05 [29, 0] 
4.40801177489e-05 [29, 28] 
4.85120689859e-06 [30, 2] 
4.82745244499e-06 [31, 3] 
1.33420626238e-05 [32, 6] 
2.20457691939e-05 [33, 7] 
3.96557633223e-05 [34, 9] 
1.31392072497e-05 [35, 10] 
7.60913600578e-06 [36, 11] 
5.17693923815e-06 [37, 12] 
4.75548697545e-06 [38, 13] 
4.52342997495e-06 [39, 14] 
1.23656543052e-05 [40, 17] 
1.77735286992e-05 [41, 18] 
3.8063843576e-05 [46, 26] 
1.3987799843e-05 [47, 27] 
7.63680852092e-06 [48, 28] 
4.85691387853e-06 [49, 29] 
