0.0105240358359 [1, 0] 
0.0034273128363 [2, 1] 
0.0036821405612 [3, 2] 
0.00338420600525 [4, 3] 
0.0100626666691 [5, 4] 
0.00437549930784 [6, 5] 
0.00407584283189 [7, 6] 
0.00443320684409 [8, 7] 
0.00371448386419 [9, 8] 
0.00334345317482 [10, 5] 
0.00369816894857 [10, 9] 
0.0042719746706 [11, 4] 
0.00416554660336 [12, 1] 
0.00404132108401 [12, 11] 
0.00378234436381 [13, 0] 
0.00211871239366 [14, 13] 
0.00234646560384 [22, 21] 
0.0109243268429 [23, 8] 
0.00463631237916 [23, 22] 
0.00383685717011 [24, 23] 
0.00202586014162 [25, 24] 
0.0044705695265 [29, 0] 
0.00215875002343 [29, 28] 
0.000871147441552 [30, 2] 
0.000857316385977 [31, 3] 
0.000975381811415 [32, 6] 
0.000929412262031 [33, 7] 
0.00090689689658 [34, 9] 
0.000787659904917 [35, 10] 
0.000959748134723 [36, 11] 
0.000851861169247 [37, 12] 
0.000784457421446 [38, 13] 
0.000166124803286 [39, 14] 
0.000156529108305 [42, 21] 
0.000918306457818 [43, 22] 
0.000960987165118 [44, 24] 
8.7107371243e-05 [45, 25] 
0.000117875563747 [48, 28] 
0.000794116320101 [49, 29] 
